<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,0.7903000,0.7953000,0.7788000,0.7834000,413694000
20210105,000000,0.7833000,0.7930000,0.7813000,0.7918000,335388000
20210106,000000,0.7920000,0.7927000,0.7878000,0.7896000,267524000
20210108,000000,0.7934000,0.8012000,0.7910000,0.7941000,599361000
20210111,000000,0.7967000,0.8297000,0.7951000,0.8255000,2280610000
20210112,000000,0.8268000,0.8355000,0.8081000,0.8188000,1338389000
20210113,000000,0.8191000,0.8239000,0.7968000,0.8032000,1214225000
20210114,000000,0.8042000,0.8129000,0.7956000,0.8054000,1404016000
20210115,000000,0.8044000,0.8115000,0.7960000,0.7969000,699583000
20210118,000000,0.7949000,0.8082000,0.7873000,0.8076000,542106000
20210119,000000,0.8097000,0.8148000,0.8021000,0.8054000,686246000
20210120,000000,0.8048000,0.8120000,0.8022000,0.8070000,583165000
20210121,000000,0.8101000,0.8125000,0.7909000,0.7935000,920693000
20210122,000000,0.7901000,0.7909000,0.7792000,0.7867000,689588000
20210125,000000,0.7898000,0.7954000,0.7830000,0.7919000,640629000
20210126,000000,0.7893000,0.7940000,0.7767000,0.7912000,618249000
20210127,000000,0.7912000,0.8025000,0.7870000,0.7870000,730692000
20210128,000000,0.7850000,0.7940000,0.7806000,0.7924000,805214000
20210129,000000,0.7908000,0.7910000,0.7748000,0.7770000,703120000
20210201,000000,0.7803000,0.7847000,0.7775000,0.7838000,290798000
20210202,000000,0.7852000,0.7886000,0.7825000,0.7825000,306419000
20210203,000000,0.7848000,0.7910000,0.7834000,0.7856000,393031000
20210204,000000,0.7870000,0.7985000,0.7853000,0.7963000,384953000
20210205,000000,0.7981000,0.7998000,0.7883000,0.7921000,354801000
20210208,000000,0.7941000,0.8040000,0.7924000,0.8022000,376302000
20210209,000000,0.8030000,0.8052000,0.7973000,0.8001000,409301000
20210210,000000,0.8005000,0.8038000,0.7905000,0.7925000,432427000
20210211,000000,0.7938000,0.8025000,0.7912000,0.7972000,294794000
20210212,000000,0.7977000,0.8091000,0.7887000,0.8090000,411748000
20210215,000000,0.8100000,0.8133000,0.8045000,0.8131000,804152000
20210216,000000,0.8136000,0.8160000,0.8045000,0.8100000,1177164000
20210217,000000,0.8100000,0.8179000,0.8057000,0.8110000,989945000
20210218,000000,0.8115000,0.8170000,0.8063000,0.8087000,700934000
20210219,000000,0.8077000,0.8135000,0.8009000,0.8036000,822463000
20210220,000000,0.8033000,0.8071000,0.8007000,0.8054000,105724000
20210222,000000,0.8044000,0.8072000,0.7960000,0.7976000,375082000
20210224,000000,0.7959000,0.7960000,0.7717000,0.7789000,1393465000
20210225,000000,0.7801000,0.7847000,0.7740000,0.7780000,820191000
20210226,000000,0.7723000,0.7836000,0.7698000,0.7818000,534890000
20210301,000000,0.7855000,0.7897000,0.7805000,0.7894000,534299000
20210302,000000,0.7875000,0.8074000,0.7848000,0.8059000,856841000
20210303,000000,0.8086000,0.8100000,0.7962000,0.7985000,516077000
20210304,000000,0.7991000,0.8075000,0.7934000,0.7956000,467995000
20210305,000000,0.8000000,0.8166000,0.7950000,0.8064000,593230000
20210309,000000,0.8085000,0.8206000,0.8045000,0.8172000,473265000
20210310,000000,0.8185000,0.8213000,0.8075000,0.8131000,1089342000
20210311,000000,0.8160000,0.8188000,0.8050000,0.8144000,1105888000
20210312,000000,0.8140000,0.8150000,0.8092000,0.8132000,259675000
20210315,000000,0.8125000,0.8175000,0.8084000,0.8140000,774402000
20210316,000000,0.8135000,0.8165000,0.8077000,0.8136000,739929000
20210317,000000,0.8136000,0.8180000,0.8062000,0.8146000,606126000
20210318,000000,0.8155000,0.8174000,0.8000000,0.8070000,783662000
20210319,000000,0.8090000,0.8113000,0.8020000,0.8068000,638258000
20210322,000000,0.8081000,0.8153000,0.8060000,0.8110000,380269000
20210323,000000,0.8101000,0.8135000,0.8049000,0.8062000,481125000
20210324,000000,0.8098000,0.8192000,0.8052000,0.8077000,1294538000
20210325,000000,0.8059000,0.8130000,0.8027000,0.8118000,349993000
20210326,000000,0.8135000,0.8155000,0.8081000,0.8129000,375006000
20210329,000000,0.8109000,0.8173000,0.8039000,0.8069000,846823000
20210330,000000,0.8065000,0.8170000,0.8008000,0.8120000,978278000
20210331,000000,0.8120000,0.8150000,0.8104000,0.8114000,245051000
20210401,000000,0.8149000,0.8175000,0.8074000,0.8104000,560200000
20210402,000000,0.8110000,0.8146000,0.8092000,0.8106000,125631000
20210405,000000,0.8106000,0.8143000,0.8063000,0.8127000,287780000
20210406,000000,0.8149000,0.8165000,0.8071000,0.8085000,283975000
20210407,000000,0.8097000,0.8441000,0.8055000,0.8427000,1459593000
20210408,000000,0.8441000,0.8521000,0.8322000,0.8378000,1369818000
20210409,000000,0.8389000,0.8420000,0.8273000,0.8312000,393442000
20210412,000000,0.8302000,0.8340000,0.8190000,0.8261000,583143000
20210413,000000,0.8268000,0.8322000,0.8170000,0.8264000,1145706000
20210414,000000,0.8300000,0.8354000,0.8265000,0.8294000,508891000
20210415,000000,0.8184000,0.8378000,0.8184000,0.8333000,351375000
20210416,000000,0.8330000,0.8371000,0.8257000,0.8286000,331549000
20210419,000000,0.8290000,0.8300000,0.8203000,0.8225000,173889000
20210420,000000,0.8269000,0.8283000,0.8156000,0.8177000,427207000
20210421,000000,0.8210000,0.8237000,0.8120000,0.8236000,288757000
20210422,000000,0.8250000,0.8269000,0.8178000,0.8194000,234377000
20210423,000000,0.8234000,0.8414000,0.8196000,0.8408000,423713000
20210426,000000,0.8404000,0.8750000,0.8404000,0.8720000,946397000
20210427,000000,0.8711000,0.8770000,0.8462000,0.8542000,714588000
20210428,000000,0.8542000,0.8569000,0.8332000,0.8408000,434926000
20210429,000000,0.8413000,0.8506000,0.8377000,0.8451000,267929000
20210430,000000,0.8451000,0.8488000,0.8202000,0.8248000,600486000
20210504,000000,0.8240000,0.8276000,0.8155000,0.8230000,465210000
20210505,000000,0.8244000,0.8403000,0.8221000,0.8374000,465332000
20210506,000000,0.8375000,0.8430000,0.8333000,0.8422000,207136000
20210507,000000,0.8422000,0.8453000,0.8346000,0.8435000,235277000
20210510,000000,0.8406000,0.8428000,0.8230000,0.8253000,380578000
20210511,000000,0.8223000,0.8517000,0.8222000,0.8469000,598932000
20210512,000000,0.8492000,0.8547000,0.8300000,0.8329000,624168000
20210513,000000,0.8331000,0.8400000,0.8227000,0.8329000,500496000
20210514,000000,0.8340000,0.8354000,0.8270000,0.8323000,186792000
20210517,000000,0.8278000,0.8346000,0.8252000,0.8325000,300227000
20210518,000000,0.8374000,0.8410000,0.8300000,0.8346000,387581000
20210519,000000,0.8372000,0.8389000,0.8205000,0.8260000,325003000
20210520,000000,0.8273000,0.8290000,0.8165000,0.8224000,281854000
20210521,000000,0.8237000,0.8292000,0.8195000,0.8210000,243434000
20210524,000000,0.8215000,0.8449000,0.8203000,0.8365000,420124000
20210525,000000,0.8379000,0.8391000,0.8067000,0.8192000,584674000
20210526,000000,0.8202000,0.8299000,0.8188000,0.8273000,288325000
20210527,000000,0.8273000,0.8332000,0.8169000,0.8216000,482227000
20210528,000000,0.8235000,0.8370000,0.8204000,0.8326000,498206000
20210531,000000,0.8337000,0.8637000,0.8329000,0.8602000,954014000
20210601,000000,0.8629000,0.8650000,0.8500000,0.8567000,548925000
20210602,000000,0.8560000,0.8585000,0.8426000,0.8487000,553741000
20210603,000000,0.8540000,0.8540000,0.8420000,0.8473000,225787000
20210604,000000,0.8474000,0.8492000,0.8360000,0.8443000,271838000
20210607,000000,0.8465000,0.8490000,0.8405000,0.8477000,238297000
20210608,000000,0.8460000,0.8535000,0.8396000,0.8434000,360469000
20210609,000000,0.8440000,0.8440000,0.8331000,0.8378000,420167000
20210610,000000,0.8381000,0.8400000,0.8289000,0.8341000,509229000
20210611,000000,0.8350000,0.8415000,0.8304000,0.8386000,361106000
20210614,000000,0.8402000,0.8458000,0.8393000,0.8422000,294582000
20210615,000000,0.8427000,0.8548000,0.8393000,0.8504000,606173000
20210616,000000,0.8508000,0.8564000,0.8435000,0.8440000,498205000
20210617,000000,0.8438000,0.8520000,0.8325000,0.8461000,829556000
20210618,000000,0.8461000,0.8519000,0.8310000,0.8436000,630951000
20210621,000000,0.8409000,0.8499000,0.8395000,0.8487000,296277000
20210622,000000,0.8489000,0.8504000,0.8415000,0.8491000,190678000
20210623,000000,0.8494000,0.8674000,0.8494000,0.8656000,884500000
20210624,000000,0.8661000,0.8720000,0.8472000,0.8596000,820435000
20210625,000000,0.8586000,0.8647000,0.8531000,0.8627000,321639000
20210628,000000,0.8645000,0.8708000,0.8624000,0.8684000,339856000
20210629,000000,0.8684000,0.8694000,0.8541000,0.8630000,387869000
20210630,000000,0.8617000,0.8705000,0.8561000,0.8694000,459175000
20210701,000000,0.8707000,0.8750000,0.8635000,0.8678000,667012000
20210702,000000,0.8678000,0.8770000,0.8638000,0.8740000,359903000
20210705,000000,0.8760000,0.8803000,0.8700000,0.8780000,455555000
20210706,000000,0.8760000,0.8777000,0.8637000,0.8665000,645100000
20210707,000000,0.8660000,0.8684000,0.8611000,0.8662000,915197000
20210708,000000,0.8186000,0.8263000,0.8150000,0.8250000,1040894000
20210709,000000,0.8269000,0.8350000,0.8230000,0.8339000,382569000
20210712,000000,0.8349000,0.8374000,0.8282000,0.8346000,349924000
20210713,000000,0.8346000,0.8360000,0.8274000,0.8279000,297436000
20210714,000000,0.8282000,0.8300000,0.8200000,0.8213000,246432000
20210715,000000,0.8210000,0.8261000,0.8118000,0.8156000,310549000
20210716,000000,0.8167000,0.8202000,0.8109000,0.8115000,203795000
20210719,000000,0.8108000,0.8166000,0.7732000,0.7820000,1068910000
20210720,000000,0.7842000,0.7895000,0.7771000,0.7877000,518759000
20210721,000000,0.7878000,0.8062000,0.7860000,0.8049000,418298000
20210722,000000,0.8049000,0.8049000,0.7922000,0.7981000,263119000
20210723,000000,0.8000000,0.8013000,0.7867000,0.7963000,303174000
20210726,000000,0.7930000,0.8035000,0.7901000,0.8008000,237337000
20210727,000000,0.8010000,0.8045000,0.7930000,0.7997000,228028000
20210728,000000,0.7995000,0.8119000,0.7993000,0.8101000,263241000
20210729,000000,0.8101000,0.8230000,0.8072000,0.8196000,276326000
20210730,000000,0.8180000,0.8233000,0.8062000,0.8125000,345501000
20210802,000000,0.8125000,0.8299000,0.8107000,0.8221000,417934000
20210803,000000,0.8220000,0.8295000,0.8176000,0.8271000,356895000
20210804,000000,0.8270000,0.8319000,0.8192000,0.8237000,294234000
20210805,000000,0.8229000,0.8295000,0.8141000,0.8292000,237609000
20210806,000000,0.8296000,0.8297000,0.8204000,0.8212000,171621000
20210809,000000,0.8205000,0.8318000,0.8182000,0.8240000,271150000
20210810,000000,0.8254000,0.8356000,0.8235000,0.8329000,229068000
20210811,000000,0.8328000,0.8460000,0.8324000,0.8418000,401583000
20210812,000000,0.8418000,0.8442000,0.8351000,0.8398000,215482000
20210813,000000,0.8398000,0.8400000,0.8292000,0.8327000,194118000
20210816,000000,0.8327000,0.8349000,0.8270000,0.8305000,171980000
20210817,000000,0.8305000,0.8327000,0.8210000,0.8228000,282358000
20210818,000000,0.8240000,0.8263000,0.8202000,0.8214000,174672000
20210819,000000,0.8199000,0.8273000,0.8146000,0.8222000,424919000
20210820,000000,0.8240000,0.8288000,0.8196000,0.8264000,229171000
20210823,000000,0.8288000,0.8327000,0.8235000,0.8284000,196546000
20210824,000000,0.8328000,0.8333000,0.8258000,0.8293000,169718000
20210825,000000,0.8293000,0.8321000,0.8266000,0.8277000,125018000
20210826,000000,0.8289000,0.8350000,0.8216000,0.8230000,250263000
20210827,000000,0.8245000,0.8290000,0.8225000,0.8278000,213343000
20210830,000000,0.8279000,0.8298000,0.8231000,0.8248000,234208000
20210831,000000,0.8252000,0.8266000,0.8203000,0.8212000,289147000
20210901,000000,0.8230000,0.8249000,0.8130000,0.8232000,339343000
20210902,000000,0.8245000,0.8252000,0.8187000,0.8207000,217084000
20210903,000000,0.8219000,0.8220000,0.8125000,0.8191000,479861000
20210906,000000,0.8208000,0.8215000,0.8106000,0.8150000,355952000
20210907,000000,0.8154000,0.8184000,0.8033000,0.8170000,331408000
20210908,000000,0.8160000,0.8211000,0.8030000,0.8189000,490525000
20210909,000000,0.8142000,0.8184000,0.8037000,0.8040000,244404000
20210910,000000,0.8097000,0.8151000,0.8064000,0.8080000,145360000
20210913,000000,0.8099000,0.8194000,0.8074000,0.8170000,275999000
20210914,000000,0.8174000,0.8186000,0.8080000,0.8114000,344051000
20210915,000000,0.8124000,0.8209000,0.8124000,0.8207000,298419000
20210916,000000,0.8206000,0.8280000,0.8206000,0.8269000,414943000
20210917,000000,0.8279000,0.8323000,0.8133000,0.8175000,962236000
20210920,000000,0.8137000,0.8168000,0.8051000,0.8083000,310315000
20210921,000000,0.8130000,0.8177000,0.8100000,0.8158000,241375000
20210922,000000,0.8179000,0.8218000,0.8111000,0.8156000,314196000
20210923,000000,0.8180000,0.8188000,0.8095000,0.8108000,219143000
20210924,000000,0.8098000,0.8128000,0.8082000,0.8111000,181675000
20210927,000000,0.8134000,0.8154000,0.8085000,0.8110000,142666000
20210928,000000,0.8126000,0.8154000,0.8055000,0.8060000,259871000
20210929,000000,0.8041000,0.8139000,0.8031000,0.8087000,251376000
20210930,000000,0.8095000,0.8119000,0.8053000,0.8098000,216422000
20211001,000000,0.8079000,0.8129000,0.8055000,0.8110000,233028000
20211004,000000,0.8128000,0.8128000,0.8019000,0.8045000,208598000
20211005,000000,0.8045000,0.8137000,0.8020000,0.8124000,551410000
20211006,000000,0.8127000,0.8154000,0.8002000,0.8037000,377474000
20211007,000000,0.8041000,0.8098000,0.8027000,0.8083000,281788000
20211008,000000,0.8084000,0.8100000,0.8020000,0.8078000,252127000
20211011,000000,0.8075000,0.8163000,0.8035000,0.8150000,590372000
20211012,000000,0.8128000,0.8176000,0.8100000,0.8146000,481724000
20211013,000000,0.8140000,0.8175000,0.8088000,0.8160000,343186000
20211014,000000,0.8173000,0.8408000,0.8166000,0.8365000,891171000
20211015,000000,0.8378000,0.8428000,0.8312000,0.8379000,391905000
20211018,000000,0.8390000,0.8450000,0.8353000,0.8409000,361585000
20211019,000000,0.8430000,0.8580000,0.8339000,0.8437000,785410000
20211020,000000,0.8437000,0.8453000,0.8345000,0.8380000,290267000
20211021,000000,0.8380000,0.8380000,0.8210000,0.8225000,341391000
20211022,000000,0.8225000,0.8360000,0.8158000,0.8320000,519544000
20211025,000000,0.8320000,0.8354000,0.8187000,0.8310000,396969000
20211026,000000,0.8298000,0.8436000,0.8279000,0.8430000,563030000
20211027,000000,0.8401000,0.8401000,0.8301000,0.8318000,150439000
20211028,000000,0.8308000,0.8319000,0.8231000,0.8277000,313249000
20211029,000000,0.8270000,0.8315000,0.8131000,0.8169000,442856000
20211101,000000,0.8176000,0.8228000,0.8155000,0.8220000,223565000
20211102,000000,0.8206000,0.8257000,0.8182000,0.8200000,147553000
20211103,000000,0.8186000,0.8237000,0.8141000,0.8162000,363573000
20211105,000000,0.8155000,0.8253000,0.8143000,0.8237000,268466000
20211108,000000,0.8250000,0.8280000,0.8171000,0.8194000,198065000
20211109,000000,0.8215000,0.8270000,0.8175000,0.8228000,230117000
20211110,000000,0.8230000,0.8264000,0.8115000,0.8144000,409107000
20211111,000000,0.8155000,0.8220000,0.8084000,0.8200000,245996000
20211112,000000,0.8204000,0.8212000,0.8023000,0.8113000,412204000
20211115,000000,0.8119000,0.8221000,0.8091000,0.8148000,186351000
20211116,000000,0.8152000,0.8260000,0.8127000,0.8177000,390608000
20211117,000000,0.8180000,0.8193000,0.8100000,0.8131000,330794000
20211118,000000,0.8131000,0.8196000,0.8076000,0.8113000,275760000
20211119,000000,0.8140000,0.8168000,0.8000000,0.8060000,416287000
20211122,000000,0.8061000,0.8152000,0.8006000,0.8058000,594570000
20211123,000000,0.8030000,0.8168000,0.7820000,0.7957000,1060153000
20211124,000000,0.7959000,0.8165000,0.7900000,0.7989000,563460000
20211125,000000,0.8009000,0.8115000,0.7863000,0.7917000,667524000
20211126,000000,0.7823000,0.7879000,0.7571000,0.7605000,731683000
20211129,000000,0.7719000,0.7758000,0.7559000,0.7617000,466468000
20211130,000000,0.7559000,0.7597000,0.7272000,0.7367000,799869000
20211201,000000,0.7399000,0.7513000,0.7370000,0.7462000,536714000
20211202,000000,0.7439000,0.7619000,0.7439000,0.7604000,324292000
20211203,000000,0.7616000,0.7625000,0.7461000,0.7556000,274496000
20211206,000000,0.7572000,0.7680000,0.7356000,0.7463000,286535000
20211207,000000,0.7463000,0.7679000,0.7432000,0.7634000,381876000
20211208,000000,0.7635000,0.7722000,0.7469000,0.7523000,414027000
20211209,000000,0.7515000,0.7546000,0.7393000,0.7438000,439878000
20211210,000000,0.7422000,0.7446000,0.7294000,0.7376000,363569000
20211213,000000,0.7380000,0.7439000,0.7100000,0.7115000,631418000
20211214,000000,0.7138000,0.7232000,0.6786000,0.7191000,671761000
20211215,000000,0.7181000,0.7290000,0.7155000,0.7284000,319558000
20211216,000000,0.7291000,0.7475000,0.7250000,0.7391000,494920000
20211217,000000,0.7410000,0.7416000,0.7288000,0.7322000,384952000
20211220,000000,0.7319000,0.7320000,0.7149000,0.7242000,261849000
20211221,000000,0.7338000,0.7340000,0.7230000,0.7276000,353068000
20211222,000000,0.7304000,0.7304000,0.7167000,0.7167000,591311000
20211223,000000,0.7172000,0.7210000,0.7120000,0.7188000,612217000
20211224,000000,0.7180000,0.7211000,0.7153000,0.7189000,273466000
20211227,000000,0.7189000,0.7259000,0.7174000,0.7228000,341139000
20211228,000000,0.7217000,0.7322000,0.7191000,0.7204000,448078000
20211229,000000,0.7221000,0.7346000,0.7181000,0.7301000,434707000
20211230,000000,0.7319000,0.7450000,0.7256000,0.7435000,473175000
